algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
moead,510_e-02,19,0,0,0,37992064.883168,684789.909180,0.000000,1.000000,179 291 292 431 460 522 532 583 736 748 751 759 771 772 992
moead,510_e-02,19,1,0,0,36121151.629158,676124.254883,0.111111,0.888889,16 107 111 332 669 774 779 797 802 862 919 922 934 1028 1039
moead,510_e-02,19,2,0,0,36121151.629158,676124.254883,0.222222,0.777778,16 107 111 332 669 774 779 797 802 862 919 922 934 1028 1039
moead,510_e-02,19,3,0,0,36079197.469010,672270.539062,0.333333,0.666667,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,4,0,0,36079197.469010,672270.539062,0.444444,0.555556,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,5,0,0,36079197.469010,672270.539062,0.555556,0.444444,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,6,0,0,36079197.469010,672270.539062,0.666667,0.333333,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,7,0,0,36079197.469010,672270.539062,0.777778,0.222222,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,8,0,0,36079197.469010,672270.539062,0.888889,0.111111,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,9,0,0,36079197.469010,672270.539062,1.000000,0.000000,68 161 252 262 277 282 294 349 400 481 749 866 998 1001 1025
moead,510_e-02,19,0,50,1,37259659.506335,684789.909180,0.000000,1.000000,46 117 196 255 355 364 480 503 536 658 703 772 935 1066 1068
moead,510_e-02,19,1,50,1,30480604.961579,643451.196045,0.111111,0.888889,61 64 65 66 69 70 72 74 83 84 86 98 99 115 450
moead,510_e-02,19,2,50,1,30418219.924628,623678.036621,0.222222,0.777778,57 58 63 64 66 69 71 72 74 83 84 86 98 99 340
moead,510_e-02,19,3,50,1,30358700.285225,622343.387695,0.333333,0.666667,57 58 64 66 69 71 72 73 74 83 84 86 98 99 340
moead,510_e-02,19,4,50,1,30214964.641184,609636.869385,0.444444,0.555556,57 58 64 66 69 70 71 72 73 74 81 83 84 86 98
moead,510_e-02,19,5,50,1,30214964.641184,609636.869385,0.555556,0.444444,57 58 64 66 69 70 71 72 73 74 81 83 84 86 98
moead,510_e-02,19,6,50,1,30214964.641184,609636.869385,0.666667,0.333333,57 58 64 66 69 70 71 72 73 74 81 83 84 86 98
moead,510_e-02,19,7,50,1,30214964.641184,609636.869385,0.777778,0.222222,57 58 64 66 69 70 71 72 73 74 81 83 84 86 98
moead,510_e-02,19,8,50,1,30214964.641184,609636.869385,0.888889,0.111111,57 58 64 66 69 70 71 72 73 74 81 83 84 86 98
moead,510_e-02,19,9,50,1,30214964.641184,609636.869385,1.000000,0.000000,57 58 64 66 69 70 71 72 73 74 81 83 84 86 98
moead,510_e-02,19,0,100,2,37757157.998414,684789.909180,0.000000,1.000000,46 196 230 255 355 364 480 536 601 629 658 703 885 935 984
moead,510_e-02,19,1,100,2,30381497.242532,642242.640137,0.111111,0.888889,61 64 65 66 69 70 72 74 75 83 84 86 98 115 450
moead,510_e-02,19,2,100,2,30213341.014778,631996.475830,0.222222,0.777778,61 64 65 66 69 70 72 73 74 75 83 84 86 98 115
moead,510_e-02,19,3,100,2,30183956.589056,615068.881836,0.333333,0.666667,57 58 62 63 66 71 72 73 74 75 81 83 84 98 115
moead,510_e-02,19,4,100,2,30098548.234703,614234.283203,0.444444,0.555556,57 58 63 65 66 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,5,100,2,30098548.234703,614234.283203,0.555556,0.444444,57 58 63 65 66 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,6,100,2,30098548.234703,614234.283203,0.666667,0.333333,57 58 63 65 66 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,7,100,2,30070404.669793,607424.907959,0.777778,0.222222,58 59 64 65 66 70 71 72 73 74 75 83 84 86 98
moead,510_e-02,19,8,100,2,30070404.669793,607424.907959,0.888889,0.111111,58 59 64 65 66 70 71 72 73 74 75 83 84 86 98
moead,510_e-02,19,9,100,2,30070404.669793,607424.907959,1.000000,0.000000,58 59 64 65 66 70 71 72 73 74 75 83 84 86 98
moead,510_e-02,19,0,150,3,31522916.443316,684789.909180,0.000000,1.000000,61 69 70 71 72 83 84 86 98 115 294 391 450 513 775
moead,510_e-02,19,1,150,3,30339840.094101,647945.007080,0.111111,0.888889,61 66 69 70 71 72 73 74 75 83 84 85 86 115 450
moead,510_e-02,19,2,150,3,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,150,3,30110898.119541,629465.748047,0.333333,0.666667,61 64 65 66 69 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,150,3,30082065.332789,614234.283203,0.444444,0.555556,57 58 62 63 65 66 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,5,150,3,30031006.109366,607857.752075,0.555556,0.444444,58 64 65 66 70 71 72 73 74 75 82 83 84 86 98
moead,510_e-02,19,6,150,3,30031006.109366,607857.752075,0.666667,0.333333,58 64 65 66 70 71 72 73 74 75 82 83 84 86 98
moead,510_e-02,19,7,150,3,29994609.670902,600084.614868,0.777778,0.222222,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,150,3,29994609.670902,600084.614868,0.888889,0.111111,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,9,150,3,29994609.670902,600084.614868,1.000000,0.000000,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,0,200,4,31372963.027617,684789.909180,0.000000,1.000000,61 69 70 71 72 73 74 86 98 115 337 339 393 395 623
moead,510_e-02,19,1,200,4,30327700.240051,647945.007080,0.111111,0.888889,56 61 66 70 71 72 73 74 75 83 84 85 86 115 393
moead,510_e-02,19,2,200,4,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,200,4,30107423.734607,629465.748047,0.333333,0.666667,56 61 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,200,4,30047615.246523,613912.478027,0.444444,0.555556,57 62 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,5,200,4,30010698.788529,611105.034912,0.555556,0.444444,56 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,6,200,4,30010698.788529,611105.034912,0.666667,0.333333,56 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,200,4,30010698.788529,611105.034912,0.777778,0.222222,56 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,200,4,29994609.670902,600084.614868,0.888889,0.111111,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,9,200,4,29994609.670902,600084.614868,1.000000,0.000000,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,0,250,5,32392404.752721,684789.909180,0.000000,1.000000,61 69 70 72 73 74 85 86 115 391 395 450 529 688 972
moead,510_e-02,19,1,250,5,30327700.240051,647945.007080,0.111111,0.888889,56 61 66 70 71 72 73 74 75 83 84 85 86 115 393
moead,510_e-02,19,2,250,5,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,250,5,30107423.734607,629465.748047,0.333333,0.666667,56 61 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,250,5,30047615.246523,613912.478027,0.444444,0.555556,57 62 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,5,250,5,29999998.881257,611105.034912,0.555556,0.444444,62 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,6,250,5,29999998.881257,611105.034912,0.666667,0.333333,62 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,250,5,29999998.881257,611105.034912,0.777778,0.222222,62 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,250,5,29994609.670902,600084.614868,0.888889,0.111111,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,9,250,5,29994609.670902,600084.614868,1.000000,0.000000,58 64 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,0,300,6,31599940.545446,684789.909180,0.000000,1.000000,61 69 70 71 72 73 74 85 86 115 395 399 450 676 972
moead,510_e-02,19,1,300,6,30284673.916295,641380.425781,0.111111,0.888889,56 61 66 70 71 72 73 74 75 83 84 85 86 98 393
moead,510_e-02,19,2,300,6,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,300,6,30085166.074848,621692.610840,0.333333,0.666667,56 61 64 65 66 70 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,4,300,6,30047615.246523,613912.478027,0.444444,0.555556,57 62 65 66 70 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,5,300,6,29995050.682741,612773.548340,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,6,300,6,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,300,6,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,300,6,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,300,6,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,350,7,36005439.763121,684789.909180,0.000000,1.000000,56 61 74 75 281 395 399 468 517 672 712 769 812 842 889
moead,510_e-02,19,1,350,7,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,350,7,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,350,7,30074466.167576,621692.610840,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,4,350,7,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,350,7,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,350,7,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,350,7,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,350,7,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,350,7,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,400,8,32966057.507066,684789.909180,0.000000,1.000000,61 71 72 73 74 86 88 98 115 305 395 429 450 782 1050
moead,510_e-02,19,1,400,8,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,400,8,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,400,8,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,400,8,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,400,8,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,400,8,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,400,8,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,400,8,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,400,8,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,450,9,31636748.885814,684789.909180,0.000000,1.000000,56 61 70 71 72 73 74 75 85 86 88 395 450 763 972
moead,510_e-02,19,1,450,9,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,450,9,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,450,9,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,450,9,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,450,9,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,450,9,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,450,9,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,450,9,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,450,9,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,500,10,32073013.973111,684789.909180,0.000000,1.000000,61 70 71 72 73 74 75 85 86 88 240 395 450 594 972
moead,510_e-02,19,1,500,10,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,500,10,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,500,10,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,500,10,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,500,10,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,500,10,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,500,10,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,500,10,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,500,10,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,550,11,32060836.078386,684789.909180,0.000000,1.000000,61 70 71 72 73 74 75 86 88 98 395 450 638 972 1053
moead,510_e-02,19,1,550,11,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,550,11,30153413.941947,631536.518311,0.222222,0.777778,61 62 64 65 66 70 71 72 73 74 75 84 85 86 98
moead,510_e-02,19,3,550,11,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,550,11,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,550,11,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,550,11,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,550,11,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,550,11,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,550,11,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,600,12,32597156.181371,684789.909180,0.000000,1.000000,56 61 70 71 72 73 74 75 98 391 395 510 638 679 775
moead,510_e-02,19,1,600,12,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,600,12,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,600,12,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,600,12,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,600,12,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,600,12,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,600,12,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,600,12,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,600,12,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,650,13,31827028.100728,684789.909180,0.000000,1.000000,56 70 71 72 73 74 75 86 88 98 395 450 777 972 1005
moead,510_e-02,19,1,650,13,30304622.966347,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 393
moead,510_e-02,19,2,650,13,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,650,13,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,650,13,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,650,13,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,650,13,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,650,13,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,650,13,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,650,13,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,700,14,32317414.886165,684789.909180,0.000000,1.000000,56 61 70 71 72 73 74 86 88 98 395 450 851 905 972
moead,510_e-02,19,1,700,14,30313913.506882,647945.007080,0.111111,0.888889,56 61 66 70 71 72 73 74 75 83 84 85 86 87 115
moead,510_e-02,19,2,700,14,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,700,14,30096723.827335,629465.748047,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,4,700,14,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,700,14,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,700,14,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,700,14,29995050.682741,612773.548340,0.777778,0.222222,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,8,700,14,29979498.599386,610702.778076,0.888889,0.111111,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,9,700,14,29979498.599386,610702.778076,1.000000,0.000000,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,0,750,15,34984738.299424,684789.909180,0.000000,1.000000,73 74 86 87 88 98 107 243 450 469 554 591 620 857 1043
moead,510_e-02,19,1,750,15,30290836.233177,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 87
moead,510_e-02,19,2,750,15,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,750,15,30074466.167576,621692.610840,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,4,750,15,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,750,15,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,750,15,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,750,15,29979498.599386,610702.778076,0.777778,0.222222,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,8,750,15,29962312.781372,599682.358032,0.888889,0.111111,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,9,750,15,29962312.781372,599682.358032,1.000000,0.000000,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,0,800,16,37898206.258196,684789.909180,0.000000,1.000000,50 86 87 115 213 248 469 565 594 626 683 691 766 792 882
moead,510_e-02,19,1,800,16,30290836.233177,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 87
moead,510_e-02,19,2,800,16,30152540.249890,631536.518311,0.222222,0.777778,61 65 66 69 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,800,16,30074466.167576,621692.610840,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,4,800,16,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,800,16,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,800,16,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,800,16,29979498.599386,610702.778076,0.777778,0.222222,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,8,800,16,29962312.781372,599682.358032,0.888889,0.111111,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,9,800,16,29962312.781372,599682.358032,1.000000,0.000000,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,0,850,17,33080308.578220,684789.909180,0.000000,1.000000,61 70 73 75 85 86 87 88 132 229 393 395 398 487 1027
moead,510_e-02,19,1,850,17,30290836.233177,642117.098633,0.111111,0.888889,56 61 66 69 70 71 72 73 74 75 83 84 85 86 87
moead,510_e-02,19,2,850,17,30138365.957683,631536.518311,0.222222,0.777778,61 62 65 66 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,850,17,30074466.167576,621692.610840,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,4,850,17,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,850,17,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,850,17,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,850,17,29979498.599386,610702.778076,0.777778,0.222222,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,8,850,17,29962312.781372,599682.358032,0.888889,0.111111,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,9,850,17,29962312.781372,599682.358032,1.000000,0.000000,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,0,900,18,31718557.546689,684789.909180,0.000000,1.000000,56 70 71 72 73 74 75 86 87 88 98 312 393 395 989
moead,510_e-02,19,1,900,18,30303213.599610,647945.007080,0.111111,0.888889,61 62 66 70 71 72 73 74 75 83 84 85 86 87 115
moead,510_e-02,19,2,900,18,30138365.957683,631536.518311,0.222222,0.777778,61 62 65 66 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,900,18,30074466.167576,621692.610840,0.333333,0.666667,61 62 64 65 66 70 71 72 73 74 75 83 84 85 98
moead,510_e-02,19,4,900,18,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,900,18,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,900,18,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,900,18,29979498.599386,610702.778076,0.777778,0.222222,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,8,900,18,29962312.781372,599682.358032,0.888889,0.111111,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,9,900,18,29962312.781372,599682.358032,1.000000,0.000000,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
moead,510_e-02,19,0,950,19,34401520.240274,684789.909180,0.000000,1.000000,56 70 72 74 85 86 87 88 298 301 330 686 689 754 830
moead,510_e-02,19,1,950,19,30303213.599610,647945.007080,0.111111,0.888889,61 62 66 70 71 72 73 74 75 83 84 85 86 87 115
moead,510_e-02,19,2,950,19,30138365.957683,631536.518311,0.222222,0.777778,61 62 65 66 70 71 72 73 74 75 83 84 85 86 98
moead,510_e-02,19,3,950,19,30069036.861183,622007.420410,0.333333,0.666667,62 63 64 65 66 70 71 73 74 75 82 83 84 85 86
moead,510_e-02,19,4,950,19,30040768.996436,621290.354004,0.444444,0.555556,62 63 64 65 66 70 71 72 73 74 75 83 84 85 86
moead,510_e-02,19,5,950,19,30017308.342499,620546.685547,0.555556,0.444444,62 63 64 65 66 71 72 73 74 75 82 83 84 85 86
moead,510_e-02,19,6,950,19,29995050.682741,612773.548340,0.666667,0.333333,62 63 64 65 66 71 72 73 74 75 82 83 84 85 98
moead,510_e-02,19,7,950,19,29979498.599386,610702.778076,0.777778,0.222222,62 63 64 65 66 70 71 72 73 74 75 82 83 84 85
moead,510_e-02,19,8,950,19,29962312.781372,599682.358032,0.888889,0.111111,63 64 65 66 70 71 72 73 74 75 81 82 83 84 85
